Mozilla/5.0 (Linux; Android 4.2.2; Novo7 Venus Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57  OPR/18.0.1290.66961 Safari/537.36
Mozilla/5.0 (Linux; Android 4.1.2; Amazon Kindle Fire Build/JZO54K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.122 Safari/537.36
Mozilla/5.0 (Linux; Android 4.2.2; Novo7 Venus Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57  OPR/18.0.1290.67495 Safari/537.36
Mozilla/5.0 (Linux; Android 4.0.3; GL-TV1 Build/IML74K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116  OPR/21.0.1437.74904 Safari/537.36
Mozilla/5.0 (Linux; Android 4.4.2; HP Slate 8 Pro Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.114 Safari/537.36
Mozilla/5.0 (Linux; Android 6.0.1; Pixel C Build/MXB48J) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.73  OPR/34.0.2044.98679 Safari/537.36
Mozilla/5.0 (Linux; Android 4.0.4; M1005D Build/IMM76D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.166  OPR/20.0.1396.73172 Safari/537.36
Mozilla/5.0 (Linux; Android 4.1.1; Novo 10 Hero QuadCore Build/JRO03C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57  OPR/18.0.1290.66961 Safari/537.36
Mozilla/5.0 (Linux; Android 4.2.2; D711HC_PG Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.94 Safari/537.36
Mozilla/5.0 (Linux; Android 4.4; Nexus 7 Build/KRT16M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.92 Safari/537.36
Mozilla/5.0 (Linux; Android 4.4; Nexus 7 Build/KRT16I) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.62 Safari/537.36
